,f_name,l_name,gender,face,ssn
61,دانا,عبدالعظيم حارب نسيم,F,system_images/Y28424.jpg,٣ ٠   ١ ٩ ٧   ٤ ١   ٩ ٦   ٢ ٦   ٢ ٩   ١
62,عزة,مظفر عبدالعزيز مجاور,F,system_images/Y28474.jpg,٠ ٣   ٨ ٤ ٣   ٤ ١   ٧ ٦   ٩ ٩   ٠ ١   ٧
63,عالية,أشهم كميت مبارك,F,system_images/Y28512.jpg,٤ ١   ٤ ٨ ٩   ١ ٤   ٥ ٣   ٩ ٣   ٤ ٨   ٦
64,أنغام,مشتاق نديم وارف,F,system_images/Y28517.jpg,٦ ٤   ٠ ٣ ٤   ٦ ١   ٤ ٧   ١ ٥   ٠ ٠   ٣
65,نور,كاظم حيدر مناف,F,system_images/Y28519.jpg,٥ ٨   ١ ٥ ٩   ٩ ٦   ٤ ٤   ٠ ٤   ٦ ٢   ٦
66,عيدة,مبروك حجر مسفر,F,system_images/Y28526.jpg,٢ ٦   ٠ ٢ ٠   ٩ ٤   ٥ ١   ١ ٤   ٧ ٥   ٢
67,البندري,أمين عايض يزيد,F,system_images/Y28542.jpg,٧ ١   ٦ ٤ ٣   ٤ ٨   ١ ٥   ٣ ٨   ٩ ٨   ٣
68,رحيق,تميم رؤوف مشتاق,F,system_images/Y28575.jpg,٤ ٩   ٧ ٢ ٠   ٧ ٤   ٦ ٨   ٨ ٦   ٢ ١   ٤
69,سؤدد,معاذ سعود عزب,F,system_images/Y28576.jpg,١ ٤   ٠ ١ ١   ٥ ٣   ٨ ٣   ١ ٩   ١ ١   ٢
70,جواهر,رفاعة مصطفى مصطفى,F,system_images/Y28577.jpg,٨ ١   ٩ ٢ ٤   ٢ ٩   ٧ ٣   ٢ ٣   ٩ ٩   ٧
71,أنغام,مبرور أهيم شكور,F,system_images/Y28587.jpg,١ ٨   ٤ ٣ ٣   ٩ ٤   ٦ ٨   ٨ ٧   ٥ ٧   ٦
72,آلاء,فالح فليح منقذ,F,system_images/Y28588.jpg,٦ ٥   ٤ ٣ ٢   ٤ ٧   ٦ ٢   ٤ ٦   ٢ ٩   ٠
73,إيناس,سامر نافع هشام,F,system_images/Y28606.jpg,٨ ٩   ٠ ٤ ٣   ٠ ٨   ٨ ٤   ٤ ٠   ٠ ١   ٩
74,أمنية,عثمان غوار أسامة,F,system_images/Y28607.jpg,٢ ٣   ٩ ٦ ٤   ٧ ٨   ٨ ٩   ٣ ٨   ١ ٦   ٧
75,رحيق,باتل فريد رضي,F,system_images/Y28608.jpg,٢ ٣   ٨ ١ ٢   ٥ ٥   ٢ ٩   ٤ ٦   ٩ ٢   ٧
76,صبا,شمر عثمان فتاح,F,system_images/Y28621.jpg,٨ ٩   ٨ ٤ ٩   ٨ ٠   ٢ ٩   ٤ ١   ٧ ٧   ٦
77,عهد,هواري نواس عبدالمجيد,F,system_images/Y28622.jpg,٣ ٠   ٨ ٦ ٣   ٠ ١   ٢ ٣   ٢ ٩   ١ ٨   ٦
78,وميض,راجي راسخ سنان,F,system_images/Y28623.jpg,٩ ٠   ٧ ٨ ٩   ٥ ٠   ٧ ٨   ٣ ٤   ٨ ٠   ٠
79,رسيمة,يزيد عزيز راسم,F,system_images/Y28646.jpg,٠ ٨   ١ ٥ ٨   ٧ ٨   ٧ ٣   ١ ١   ٥ ٣   ٣
80,فدوى,مسيب نوفل فرناس,F,system_images/Y28650.jpg,١ ١   ٦ ٠ ٤   ٦ ٩   ٥ ٤   ٦ ٤   ٢ ٨   ٠
81,تولين,عائذ فهمي مثاب,F,system_images/Y28700.jpg,٠ ٤   ٦ ٠ ٩   ٠ ١   ٣ ٣   ٢ ١   ٧ ٨   ٨
82,زكية,رعد حسون أعسر,F,system_images/Y28703.jpg,٩ ٨   ٤ ٤ ٩   ٠ ٤   ٣ ٢   ٩ ٦   ٧ ٨   ٩
83,تماضر,راجح مدحة عبدالهادي,F,system_images/Y28704.jpg,٠ ٧   ٩ ٧ ١   ٠ ٩   ٨ ٧   ٦ ٨   ٩ ٦   ٦
84,بهيسة,برهان عنتر مبخوت,F,system_images/Y28709.jpg,١ ٥   ٩ ٢ ٢   ٠ ٨   ٥ ٣   ٨ ٠   ٥ ٠   ٩
85,آلاء,قتادة غالي عوف,F,system_images/Y28730.jpg,٥ ٩   ٨ ٢ ٣   ٠ ٧   ٥ ١   ٤ ٢   ٢ ٠   ٩
86,مرهفة,صابر جاسم اسلم,F,system_images/Y28753.jpg,٥ ٠   ١ ٦ ٠   ٢ ٨   ٧ ٣   ٣ ٦   ٨ ٢   ٩
87,زكية,مكين داني زيدان,F,system_images/Y28759.jpg,٧ ٨   ٥ ٧ ٣   ٣ ٦   ٣ ١   ٢ ٥   ٤ ٧   ٧
88,دانا,يحيى منان صافي,F,system_images/Y28767.jpg,١ ٤   ٠ ٦ ٥   ٨ ٢   ٥ ٣   ٣ ٦   ٨ ٤   ٩
89,مصلحة,رائض فيض منصور,F,system_images/Y28782.jpg,٨ ٦   ٢ ٦ ١   ٠ ١   ٣ ٣   ٢ ٢   ٣ ٨   ٦
90,ديما,بهلول محمد فهمي,F,system_images/Y28786.jpg,٨ ٦   ٨ ١ ٢   ٣ ٥   ٧ ٤   ٥ ٢   ١ ٠   ٦
91,سدن,مرحب معتصم صدام,F,system_images/Y28787.jpg,٦ ٣   ٤ ٢ ٩   ٧ ١   ٢ ٦   ٨ ٧   ٦ ٥   ١
92,مها,أدهم فواز مجاور,F,system_images/Y28812.jpg,٧ ٦   ٥ ٥ ٩   ٥ ١   ٧ ٩   ٢ ٠   ٠ ٤   ١
93,رانيا,عبدالمطلب عبده مقبل,F,system_images/Y28844.jpg,٤ ١   ٠ ٠ ٠   ٣ ٤   ٤ ٣   ٧ ٢   ٧ ٥   ٩
94,ميا,معن عبدالرزاق نزار,F,system_images/Y28845.jpg,٤ ٣   ٦ ٥ ٢   ١ ٨   ٤ ٥   ٥ ٨   ٢ ٥   ٧
95,تولين,مسلمة حارب عدلي,F,system_images/Y28846.jpg,٥ ٧   ٠ ٢ ١   ٢ ٤   ٧ ٠   ٢ ٦   ٣ ٠   ٦
96,مهرة,عبدالعزيز صفوان ضياء,F,system_images/Y28847.jpg,٣ ٣   ٥ ٩ ٥   ٤ ٧   ٣ ٢   ٣ ١   ٠ ٨   ٢
97,رواء,فهد جودة غافر,F,system_images/Y28848.jpg,٢ ٢   ٧ ٨ ٥   ١ ٣   ٠ ٠   ١ ٤   ٥ ٣   ٥
98,سهاد,قصي عرفات مجدي,F,system_images/Y28850.jpg,٦ ٨   ٦ ٦ ٦   ٩ ٨   ١ ٧   ٨ ٩   ١ ٢   ٤
99,مسفرة,عبدالباقي ناجي عبدالحفيظ,F,system_images/Y28851.jpg,٩ ٧   ٩ ١ ٧   ٣ ٤   ٢ ٨   ٥ ٩   ١ ٧   ١
100,إحسان,نجدت ليث هيثم,F,system_images/Y28855.jpg,٩ ٦   ٧ ٨ ٣   ٧ ٦   ٨ ٠   ٤ ٧   ٢ ٨   ٤
101,طريفة,رؤوف كاسب ضرام,F,system_images/Y28872.jpg,٨ ٥   ١ ٩ ٠   ١ ٧   ٧ ٢   ٥ ٠   ٨ ١   ٩
102,زاهية,ممدوح عبدالحق بهيج,F,system_images/Y28873.jpg,٤ ٥   ٩ ٥ ٥   ٨ ٦   ٥ ٦   ٤ ٦   ٩ ٣   ٦
103,شاكرة,عكاشة زبير كنعان,F,system_images/Y28914.jpg,٧ ١   ٦ ٦ ٥   ٠ ٧   ٦ ٠   ١ ٧   ٤ ١   ٣
104,ألفت,درغام جدعان رفاعة,F,system_images/Y28915.jpg,٨ ٩   ٨ ٣ ٢   ٩ ٦   ٣ ٢   ٠ ٠   ٢ ٤   ٧
105,رضوة,مستور فكري مدحت,F,system_images/Y28916.jpg,٠ ٧   ٣ ٢ ٠   ٥ ٩   ٠ ٠   ٤ ٥   ٧ ٠   ٥
106,أطياف,ماهر مجاهد ساهر,F,system_images/Y28917.jpg,٧ ٠   ٢ ١ ٢   ٧ ٥   ١ ٨   ٠ ٩   ٨ ٣   ٠
107,فردوس,فيضي أمجد توفيق,F,system_images/Y28918.jpg,٢ ٥   ٥ ٧ ٠   ٦ ٤   ٠ ٢   ٨ ٣   ٧ ٤   ٩
108,شموخ,أسعد جدعان كعب,F,system_images/Y28955.jpg,١ ٨   ١ ٩ ١   ٧ ٠   ٧ ٩   ٠ ٥   ٥ ١   ١
109,رفعة,رويشد أنمار فليح,F,system_images/Y28956.jpg,١ ٢   ٧ ٧ ٠   ٨ ٨   ٣ ٥   ٠ ٩   ٧ ٤   ٧
110,عهود,رضي مثاب عبدالمنان,F,system_images/Y28958.jpg,٣ ٠   ٥ ٢ ٤   ٦ ٥   ٢ ٤   ٣ ٨   ٩ ٨   ٦
111,كبرى,عليان جاسم سبع,F,system_images/Y28959.jpg,٤ ٤   ٣ ٩ ١   ٢ ٧   ٨ ٠   ١ ٤   ٨ ٣   ٦
112,نداء,غفار ذياب غيث,F,system_images/Y28960.jpg,٤ ٠   ١ ٢ ٢   ٩ ٧   ٥ ٤   ٩ ١   ٣ ٩   ٦
113,طيب,فواز الحبيب قطامي,F,system_images/Y28962.jpg,٣ ٢   ٩ ٣ ٩   ٥ ٠   ٠ ٧   ٨ ٦   ٦ ٠   ١
114,نوف,علوان عديل رافع,F,system_images/Y28963.jpg,٧ ٥   ٠ ٧ ٤   ٩ ٨   ٠ ٣   ١ ٦   ٨ ١   ٩
115,ليلى,الخضر زاهد سنان,F,system_images/Y28973.jpg,٧ ٨   ٩ ٦ ٩   ٦ ٩   ٣ ٥   ١ ٣   ٩ ٠   ٧
116,مقبلة,فرحات ورد وهاب,F,system_images/Y28974.jpg,٩ ٥   ٢ ٨ ٤   ٥ ٨   ١ ٧   ١ ٥   ٥ ٤   ٤
117,ديم,ضيغم عرفات أحمد,F,system_images/Y28975.jpg,١ ٢   ٥ ٥ ٠   ٣ ٣   ٥ ٥   ٢ ٨   ٥ ٥   ٦
118,جنا,صهيب عدنان عبدالرشيد,F,system_images/Y29008.jpg,٣ ١   ٧ ٧ ٤   ٥ ٢   ٢ ٤   ٢ ٠   ٩ ٣   ٧
119,عبير,ميثم أشيم ميلاد,F,system_images/Y29041.jpg,٣ ٧   ٥ ٩ ٥   ٤ ١   ٣ ٨   ٧ ٩   ٥ ٨   ٢
120,سامية,ياسر أسد خالص,F,system_images/Y29042.jpg,٢ ٠   ١ ٥ ٧   ٤ ٢   ٩ ٣   ٤ ١   ٢ ٤   ٤
121,فخرية,فكري مغيث كعب,F,system_images/Y29043.jpg,٩ ٠   ٦ ٦ ٢   ٠ ٩   ٣ ٧   ٦ ٧   ٦ ٢   ٢
122,رحاب,عبدالباقي جابر عابد,F,system_images/Y29057.jpg,٢ ٣   ٧ ٠ ٢   ٣ ٢   ٦ ٠   ٣ ٩   ٦ ٠   ٤
123,لبانة,هريرة معاذ سلمة,F,system_images/Y29067.jpg,٠ ٠   ٣ ٥ ٥   ٩ ٨   ٤ ٥   ٤ ٣   ٤ ٣   ٦
124,الجوهرة,كنان شافع ظاهر,F,system_images/Y29068.jpg,٦ ٦   ٠ ٠ ٧   ٦ ٨   ٢ ٦   ٨ ١   ٨ ٥   ٠
125,هبة,عمير عوف نظير,F,system_images/Y29069.jpg,٢ ٢   ٨ ١ ٨   ٦ ٢   ٠ ٧   ٢ ٤   ٩ ٤   ٠
126,فاتن,قتادة عبدالباسط إحسان,F,system_images/Y29070.jpg,٣ ٠   ٥ ٦ ٤   ١ ٦   ٦ ٣   ٤ ٥   ٥ ٤   ١
127,نهلة,مهاب شيبان زاخر,F,system_images/Y29071.jpg,٤ ٨   ٨ ٣ ٥   ١ ٨   ٤ ٣   ٥ ٤   ٩ ١   ٤
128,لجينة,نورس عاطف مبارك,F,system_images/Y29072.jpg,٠ ٣   ٤ ٢ ١   ٩ ٢   ٧ ٦   ٥ ٢   ٤ ٥   ٢
129,العنود,معاد عصام شادي,F,system_images/Y29073.jpg,٣ ٩   ٣ ٠ ٥   ٦ ٤   ٠ ٦   ١ ٠   ٩ ٤   ٩
130,مجاهدة,قطامي عبدالكريم سليم,F,system_images/Y29074.jpg,٣ ٢   ٣ ٤ ١   ٨ ٤   ١ ٦   ٦ ٩   ٨ ١   ٨
131,نشوة,صدام صائن بادي,F,system_images/Y29075.jpg,٧ ٥   ١ ٧ ٥   ٥ ٦   ٨ ٨   ٣ ٧   ٨ ٥   ٢
132,أنيسة,مسفر قابوس إيهاب,F,system_images/Y29076.jpg,٧ ٧   ٨ ٨ ٣   ٢ ٣   ٦ ٩   ٠ ٨   ٣ ٥   ٥
133,انسجام,مغيث مبخوت عتاب,F,system_images/Y29100.jpg,٤ ٨   ٨ ١ ١   ٦ ٠   ٤ ٧   ٧ ١   ٧ ٤   ٥
134,سؤدد,أنمار معتوق رجب,F,system_images/Y29161.jpg,٣ ٧   ٤ ٤ ٧   ٦ ٦   ٢ ٦   ٦ ٧   ٨ ٩   ٠
135,أنسام,أجاويد نسيم بارع,F,system_images/Y29177.jpg,٤ ٩   ٩ ٠ ٩   ٣ ٤   ٤ ٥   ٥ ٢   ٢ ١   ٠
136,البتول,عقبة وليد داني,F,system_images/Y29188.jpg,٩ ٨   ٩ ٠ ٤   ٢ ٤   ٠ ٨   ٦ ٤   ٧ ٢   ٣
137,طيف,بكري صارم رضوان,F,system_images/Y29196.jpg,٣ ٣   ٧ ٠ ١   ١ ١   ٥ ٧   ٩ ٥   ٩ ٩   ٩
138,ربى,مخلص إياد ناشر,F,system_images/Y29214.jpg,١ ٥   ٣ ٦ ٥   ٢ ٥   ٢ ٤   ٩ ٢   ٠ ٢   ٩
139,أنغام,غزوان شكري نوفل,F,system_images/Y29224.jpg,٠ ١   ٨ ٦ ٩   ٤ ٦   ٣ ٦   ٢ ٠   ٧ ٩   ٥
140,كاظمة,دعيج فيضي أكمل,F,system_images/Y29225.jpg,٧ ٢   ٠ ٠ ١   ٣ ٦   ٣ ٢   ٦ ٣   ٣ ٩   ٩
141,أطياف,بهلول وليد سلامة,F,system_images/Y29226.jpg,٤ ٢   ٩ ٧ ٧   ٢ ٧   ٦ ٤   ٨ ٩   ٥ ٣   ١
142,ثويبة,فهد رمضان منصور,F,system_images/Y29227.jpg,٥ ٦   ٢ ٤ ٥   ٤ ٢   ٨ ١   ٩ ٤   ٤ ٣   ٧
143,نور,مصباح ركين قطامي,F,system_images/Y29228.jpg,٢ ٨   ٥ ٨ ١   ٣ ١   ٢ ٠   ٨ ٩   ٩ ٢   ٧
144,هنادي,أيهم نبيل بكار,F,system_images/Y29230.jpg,٣ ٤   ٤ ٧ ٣   ٢ ٥   ٦ ٠   ٠ ٤   ٧ ٢   ٦
145,ميمونة,معد نائل يحيى,F,system_images/Y29231.jpg,٧ ٥   ٧ ٨ ١   ١ ١   ٠ ٧   ٣ ٠   ٥ ٥   ٥
146,رسمية,شمس الدين أرقم سميح,F,system_images/Y29232.jpg,٣ ٨   ٨ ٦ ١   ٨ ٥   ٥ ٨   ٢ ٩   ٢ ٢   ٥
147,قمر,مناع نوفل قابس,F,system_images/Y29243.jpg,٣ ٧   ٦ ٠ ٥   ٠ ٣   ٠ ١   ٤ ٤   ٥ ٧   ٦
148,الجازي,جلال رويشد ظفير,F,system_images/Y29251.jpg,٦ ١   ٥ ٠ ٢   ٦ ٥   ٣ ١   ٦ ٨   ٤ ٣   ٨
149,جمانة,فليح رائض مغيرة,F,system_images/Y29252.jpg,٠ ٧   ٢ ٥ ٤   ٦ ١   ٥ ٦   ٨ ٩   ٦ ٠   ٨
150,حصة,كريم لبيد حازم,F,system_images/Y29254.jpg,٧ ٤   ٨ ٦ ٦   ٣ ٥   ٦ ٦   ٢ ٧   ٢ ١   ٣
151,أمينة,عائض محسن محبوب,F,system_images/Y29265.jpg,٥ ٨   ٠ ٦ ٩   ٠ ٣   ١ ٦   ٤ ٠   ٢ ٦   ٨
152,ريهام,متعب مأمون ناصح,F,system_images/Y29275.jpg,٧ ٩   ٨ ٣ ٥   ٨ ٢   ٦ ٨   ٣ ٢   ٦ ٧   ٨
153,رزان,عماد قدامة إمام,F,system_images/Y29294.jpg,٩ ٦   ٣ ٣ ٩   ٢ ٩   ٧ ٦   ٢ ٨   ٠ ٩   ٠
154,رابعة,أخضر رضا صفوت,F,system_images/Y29295.jpg,٨ ٨   ٨ ١ ٨   ٤ ٣   ١ ٥   ٦ ٦   ٩ ٥   ٣
155,نجيبة,مصطفى عفيف قابس,F,system_images/Y29296.jpg,٣ ٦   ١ ٣ ٨   ٩ ٨   ٦ ١   ٧ ٢   ٤ ٣   ٣
156,منصفة,مجتبى عقاب نصار,F,system_images/Y29306.jpg,٣ ٧   ٣ ٥ ٥   ٢ ٧   ٥ ٢   ٣ ٥   ٨ ٧   ٨
157,ناهد,إسلام عبدالنور شبل,F,system_images/Y29360.jpg,٦ ٨   ٣ ٦ ٣   ٦ ٠   ٦ ١   ٦ ٧   ٢ ٥   ٨
158,بشرى,إسحاق رافق ركان,F,system_images/Y29369.jpg,٢ ٥   ٤ ٤ ٢   ٤ ٦   ٢ ٠   ٩ ٢   ٥ ٩   ٤
